,simulation_1
2082-09-12,5.1349287711363205
2082-09-13,4.626395730689414
2082-09-14,4.884240864089984
2082-09-15,5.065604541274215
2082-09-16,4.924897645084512
2082-09-17,4.778636590248215
2082-09-18,3.9615543857307927
2082-09-19,6.423185209121322
2082-09-20,8.865312502011314
2082-09-21,5.266637617400464
2082-09-22,4.665275458991113
2082-09-23,3.6108261140982343
2082-09-24,3.483564020459789
2082-09-25,3.0283574416601637
2082-09-26,2.8108556237054434
2082-09-27,2.6698149412939873
2082-09-28,3.3546642967137577
2082-09-29,4.076150239678851
2082-09-30,3.816231045395289
2082-10-01,4.189226662226564
2082-10-02,3.0190390105520293
2082-10-03,2.662623751189409
2082-10-04,2.387432705212133
2082-10-05,3.1819260087181034
2082-10-06,2.8412090817524827
2082-10-07,3.3628337759478573
2082-10-08,2.5511848899150142
2082-10-09,2.2157237454028347
2082-10-10,2.035973928840757
2082-10-11,1.9166052809103686
2082-10-12,1.8352193046576413
2082-10-13,1.7675910891504951
2082-10-14,1.6967765153068193
2082-10-15,1.7630456223748674
2082-10-16,2.151156695315172
2082-10-17,2.7055856416852055
2082-10-18,2.3336456927299296
2082-10-19,2.495087307163973
2082-10-20,2.221384218275501
2082-10-21,1.711352213547888
2082-10-22,1.5088799178630634
2082-10-23,1.41067201135015
2082-10-24,1.3529481230175482
2082-10-25,1.3015161404123263
2082-10-26,1.355971180784763
2082-10-27,1.2330879948167133
2082-10-28,1.166512551473493
2082-10-29,1.116674637750612
2082-10-30,1.0736616097812945
2082-10-31,1.033963236306562
2082-11-01,1.0365178865338303
2082-11-02,0.9833228324298406
2082-11-03,0.9521688032180303
2082-11-04,1.2055597891709566
2082-11-05,1.1180000902788296
2082-11-06,4.959780613204629
2082-11-07,5.369859506426253
2082-11-08,6.256977436407507
2082-11-09,5.577388667728934
2082-11-10,3.884084955403684
2082-11-11,4.651046687128335
2082-11-12,2.8241582554822164
2082-11-13,2.1461565623344154
2082-11-14,1.969794789895982
2082-11-15,2.373095734436187
2082-11-16,1.8478747641925986
2082-11-17,2.6255569493863637
2082-11-18,3.012102328314502
2082-11-19,2.4661226156469085
2082-11-20,3.614455548771205
2082-11-21,6.898069253252603
