,ED,NSE,logNSE,NSEfdc,NSErunoff,Ks,Ratio_Riparian
58,0.552027696338117,0.2585306988745183,0.5457707477888452,0.7036825040479482,0.3876003644560493,0.0134,0.478
59,0.5986235752064041,0.33938618186020764,0.29631890711707765,0.5820786607956636,0.4280167867750795,0.0412,0.274
60,0.5277244577472419,0.3080822644457797,0.45626399367422876,0.5299737516494332,0.6555457334704737,0.0169,0.244
61,0.6807098576342584,0.383872484244943,0.07982922471503284,0.3562779245463853,0.5387428490131945,0.033,0.116
62,0.5519128088667431,0.3568855846293062,0.5163649811715516,0.6229126144651325,0.34521979616026277,0.0216,0.135
63,0.6806761841747544,0.2613010366068593,0.4350733991909066,0.6270340701137237,0.07839354215854988,0.0253,0.293
64,0.6685382876703354,0.29660135485279604,0.5554407774708138,0.6745404577585957,0.00529034469445544,0.0195,0.387
65,0.695994831083091,0.3530371877280737,0.16804486689588216,0.38143451900109615,0.3334403692594141,0.0384,0.051
66,0.5131508026837842,0.31444951004264,0.789157417513293,0.8761803807369818,0.2764465339761205,0.0061,0.126
67,0.7050359583641768,0.2560278379769262,0.21936686765346858,0.46235509734140956,0.26763526586217756,0.0135,0.142
68,0.594113188846418,0.30328272530065303,0.7449375043945012,0.8134122726539535,0.09082724022335287,0.0198,0.442
69,0.5497347650007282,0.21789958941604715,0.8574542582405311,0.8872259113473498,0.24892416388167415,0.016,0.371
70,0.6076056204260029,0.29300637559495357,0.34753866495870755,0.5707476316428767,0.3942484127304142,0.0184,0.479
71,0.4115610620616896,0.2851485333928603,0.8493462113785288,0.8798623383885262,0.6402948566568317,0.0054,0.094
72,0.6016525935516834,0.3149097171061028,0.24256788572614907,0.41775957674946074,0.7433146685260223,0.0133,0.194
73,0.7198355189079543,0.35608744602907183,0.005482885564321305,0.28351237791181216,0.6055250116249231,0.0404,0.403
74,0.6486573485988607,0.245613176765194,0.5763363780803882,0.7754758455805801,0.059774503622075925,0.0017,0.346
75,0.8399660392566918,0.29002512104772393,0.04403800110046918,0.2369230009474691,0.09338122132177562,0.036,0.105
76,0.5317079596785019,0.40304463712482075,0.3702906488921316,0.4902977795117195,0.6562450119153347,0.0381,0.4
77,0.6492147383526853,0.22579218628628162,0.7146367931960311,0.8418057508428115,0.010018289614320386,0.0197,0.416
78,0.7336010480822185,0.338158950563626,0.20409528003279254,0.3635933204673536,0.17770404886657187,0.0383,0.333
79,0.6705530301993501,0.2539472991229993,0.5901273724243064,0.7198834737778438,0.002247528866160531,0.0197,0.268
80,0.557373951199754,0.2968675316604682,0.7670744932500841,0.8479785381429854,0.18091343478786626,0.0149,0.415
81,0.5755013622393387,0.2118974121013858,0.7513875198916898,0.7872315965310022,0.22758623528286737,0.0041,0.324
82,0.33701966858734644,0.3974364309946212,0.8183494178078269,0.9372989226606159,0.7669381750347676,0.0194,0.47
83,0.48311710704874583,0.2439401243090752,0.8370962748544799,0.8550790257758466,0.4392484432242246,0.0099,0.496
84,0.5858489833320287,0.2821726574229435,0.6197330337981843,0.7727859843987939,0.18675289311090093,0.0236,0.425
85,0.7562940931921376,0.11257979663517981,0.13213217336534666,0.19381099460274365,0.6881135986961948,0.0177,0.283
86,0.5411814420354527,0.3759695463589843,0.6649038440348933,0.7258430413955592,0.2288684067884078,0.0154,0.083
87,0.5233217737790659,0.3617617209205256,0.4958878522976554,0.6095445931423931,0.469405868335003,0.0183,0.34
88,0.6074276300916012,0.246273800780497,0.5567238421812967,0.7716453048246965,0.1881314756034691,0.0093,0.431
89,0.7840897211280802,0.34586077104333446,0.1878996391034118,0.2344602342498594,0.1135855917565014,0.0377,0.363
90,0.6294108371190003,0.19430966321492016,0.7461683681369666,0.7651919822237262,0.09671168157878074,0.0048,0.422
91,0.7152371113073507,0.3182091368852592,0.10849390685343108,0.3769116005550147,0.36881424849889166,0.0454,0.433
92,0.8023136858313392,0.19939621768299332,0.23637336115888574,0.36726165179393877,0.025126098005251563,0.0055,0.303
93,0.3971839994264627,0.42316362346194003,0.8430726478229547,0.966596419610664,0.47794797265031375,0.0125,0.109
94,0.5383979996332836,0.22807964829183347,0.8089417960246653,0.8304958530158606,0.29402995707740953,0.0074,0.095
95,0.504269768935352,0.2797902947410328,0.7752771606267146,0.8774101275903147,0.34203241071779933,0.0153,0.488
96,0.8091168441095314,0.2679677556909822,0.10459056780725895,0.32221673059790057,0.09354489827799639,0.0479,0.417
97,0.6144339634580152,0.23632553766104702,0.5508324845940841,0.8614731297238531,0.15977589496028832,0.0035,0.453
98,0.7701915453752936,0.1557563001355301,0.08459958075229845,0.17583518352802818,0.6220753127403086,0.0091,0.082
99,0.7867488863230884,0.3142391991423943,0.004563427101341833,0.2426850127351614,0.3357655504797674,0.0406,0.253
100,0.5533238804054773,0.3146716607428184,0.7262518928920765,0.8156280419931994,0.1962193776443346,0.0147,0.499
101,0.6178663999022943,0.24933370710480163,0.8435920330779152,0.8887477990588246,0.03734992604118503,0.0134,0.112
102,0.5885091177955872,0.3161712872932696,0.3601271211120821,0.5823470009701742,0.42217745816116026,0.0196,0.119
103,0.49114011242959726,0.16212354918638372,0.7017693773543178,0.8768239339416093,0.601598637316393,0.004,0.05
104,0.6217175535620306,0.3093239617146245,0.4618831782155224,0.6014521153565673,0.2121628686550362,0.0214,0.183
105,0.42668883626662657,0.3739188301242955,0.5827172464348854,0.7563360269659812,0.6794086830125708,0.0208,0.397
106,0.5329161689542448,0.27382527679449387,0.6922035002451612,0.8082489052068931,0.309231097766266,0.0037,0.44
107,0.5660207279364703,0.3034334599417533,0.6233215833205598,0.7335790507957461,0.2361635244902318,0.0223,0.453
108,0.4344864673851721,0.39862888473797775,0.6135358244142056,0.7113311623557077,0.5990230851360867,0.0173,0.163
109,0.4712048567141692,0.3018841767561208,0.8014813556377393,0.9122844386953253,0.40530117416781475,0.018,0.128
110,0.6124091122199137,0.23703297699341874,0.7335064442960421,0.8513540873626539,0.09173429980601033,0.0278,0.497
111,0.6532741863380114,0.2409069458237234,0.6160459651342675,0.7471594698882695,0.04109575520449471,0.0235,0.217
112,0.4548091530583145,0.31751165418791394,0.5746893855404562,0.797026063454152,0.6264660886019917,0.0207,0.499
113,0.5328557112025567,0.3085864950052619,0.6085091760727175,0.7826042075720764,0.32386228830881336,0.0326,0.465
114,0.39385837858998907,0.346488954080699,0.7927023188369967,0.904115009008676,0.6241612815440145,0.0146,0.475
115,0.6127969992894492,0.09872385636059,0.38329985500962205,0.6793158423356629,0.5454402520558517,0.004,0.258
116,0.5287108723335363,0.3835194849825625,0.5276777922688891,0.6478751893316845,0.37469018039502777,0.0327,0.408
117,0.3957429740607323,0.3671312849530175,0.8336678733243533,0.9099537715593254,0.563935215859293,0.0088,0.348
118,0.39769552699457345,0.45305085917829735,0.5524401815389854,0.7352369278289861,0.7488341372039635,0.031,0.378
119,0.6464874455260252,0.26353080844600685,0.6552474913441013,0.7310179223808488,0.03139711518186228,0.002,0.112
120,0.44633934450803325,0.32148817794786244,0.7105168899316298,0.8786013646321676,0.5121897402935199,0.0036,0.384
121,0.6705499863686488,0.38035597731374315,0.31442204605036084,0.3726951387997708,0.2576645622106122,0.0251,0.453
122,0.7763977950039386,0.3384678593418836,0.17123055705676016,0.281098636505,0.12257683457023827,0.0379,0.479
123,0.3992037828245107,0.3535926634721901,0.6399591916595166,0.8387565971108312,0.7470506423750564,0.0178,0.438
124,0.6133827057990436,0.21188919534101935,0.7878333742111387,0.8278016045134297,0.10046246872828124,0.0105,0.432
125,0.5934008356911585,0.306930908401598,0.5897406777554872,0.7907597118300991,0.15379716864992887,0.0028,0.244
126,0.5950946031355892,0.1959015435674083,0.7918366128428076,0.8505318099015794,0.1607722100150113,0.0096,0.391
127,0.3978248207401003,0.37085900576577535,0.7350060430028729,0.8359664579420586,0.6256857454003744,0.025,0.394
128,0.688267176716683,0.31123743551537664,0.35107541117557095,0.5399760995655105,0.11245966570816357,0.0396,0.459
129,0.5170304714955034,0.1948920598457472,0.5182648582794112,0.6833305509921868,0.7021158751854029,0.0174,0.346
130,0.48780892131580755,0.28908882734445907,0.7604612941825094,0.8877070606471998,0.38644724461422164,0.0052,0.33
131,0.47419608329506346,0.30412961451895437,0.6951945921380998,0.873305725249175,0.4465974951778052,0.0045,0.391
132,0.5003406145158211,0.27860475695498543,0.7384003491882878,0.876376815834141,0.36973437625062666,0.01,0.318
133,0.47617268632888815,0.3874455127088421,0.599163502427815,0.6834552568597003,0.47954996711840725,0.0255,0.495
134,0.7337903470964628,0.2085650598948563,0.36725872223254763,0.4867630892133963,0.0706721900405689,0.0118,0.435
135,0.6086449156672314,0.3032954498752447,0.7198690175057356,0.8114608980516721,0.06065078751879294,0.0135,0.469
136,0.7374998147308496,0.38704846957870986,0.07159776713068622,0.08986173943815934,0.6688928135314974,0.0308,0.228
137,0.7169379264781606,0.353487212940237,0.04930095645678456,0.19208559364449018,0.714576072361347,0.0315,0.383
138,0.5920376372798151,0.3090990529218026,0.4854843872101332,0.7046835391234796,0.2431961883811976,0.0225,0.434
139,0.5744915485258317,0.20925429242174232,0.8376993210371361,0.8538207722854105,0.19552905195404824,0.0095,0.116
140,0.8535561226834768,0.25144899093217565,0.04115167670879649,0.27761988018171746,0.044656888590117516,0.0047,0.339
141,0.6271006644255062,0.2460839130176904,0.5654470541502422,0.8018125160149729,0.11879799959038351,0.0077,0.335
142,0.4063002647555016,0.3510937514270922,0.6911758358669022,0.8811172074773255,0.6398128008741808,0.0048,0.377
143,0.4938112611967797,0.2765093554761633,0.8688039252189467,0.9092845727514267,0.34691667051849107,0.0113,0.332
144,0.37966563276662835,0.3904333123956306,0.7404289732368782,0.9220795806431344,0.637282872624185,0.0187,0.259
145,0.6183996331443203,0.29772334873465245,0.38977642984377836,0.5925822367795519,0.2942253257463179,0.0232,0.467
146,0.7571814517473715,0.29100738070387255,0.2323090243048943,0.38778697714901467,0.09089590818619642,0.0169,0.22
147,0.8108959682850305,0.2257105115320972,0.09590903414846763,0.41269981915292253,0.06812935628682026,0.0166,0.348
148,0.4524707805498046,0.34597709356148687,0.8197873913698434,0.9027838848384078,0.40902985735088127,0.0103,0.34
149,0.7318789534998824,0.2837913620395843,0.04135781706136388,0.3978800635930574,0.41000919965887206,0.0553,0.361
150,0.6349943408627645,0.26418864792799257,0.6493485459416424,0.7641428528666354,0.05508314133687853,0.003,0.42
151,0.3890424106458781,0.36543285768152434,0.6608177920813533,0.8178869097936319,0.766481728292395,0.0152,0.301
152,0.4753846591410742,0.23992941594791783,0.5768723856679169,0.7838895640905117,0.6829600887489422,0.0092,0.482
153,0.5555414981119519,0.2923693298495932,0.6388357133680141,0.772490396979443,0.257326452769852,0.0263,0.409
154,0.8270371871778271,0.2986568942776653,0.043691225785463805,0.21142594841020468,0.15874832691081997,0.0278,0.153
155,0.5680085997444645,0.4035891205724629,0.40704439250060964,0.4854759138268875,0.43564394863003975,0.0234,0.154
156,0.6088665495298334,0.3155637023112634,0.7577432626073985,0.8418433894984529,0.03526220417454884,0.0159,0.484
157,0.6624208510087228,0.16694129859650886,0.2774656396495414,0.4125639705082671,0.5594529028714943,0.0087,0.103
158,0.5595615816148656,0.28761321888675406,0.5843470375863928,0.793070055154132,0.2724325863981357,0.0023,0.119
159,0.6291858328863734,0.32741909515337586,0.3720805481259115,0.4906757958103849,0.30902952838769326,0.0255,0.328
160,0.3429808653337827,0.3817774578580947,0.835608382276415,0.9444303635559672,0.7586873483305479,0.0124,0.391
161,0.5793007567472322,0.3518589216047996,0.2776255368048749,0.4595158938643741,0.670875896496931,0.0359,0.286
162,0.4536099760303985,0.3708658229070807,0.5929686562422434,0.7534416363463985,0.5519233468009926,0.0253,0.433
163,0.5556888630468405,0.24842070031552477,0.7686153763899632,0.864430185672849,0.22645556834587832,0.0144,0.377
164,0.3718027890311521,0.35230690642152407,0.7650521692716715,0.926388064861025,0.7301413108731437,0.0087,0.229
