DATE,Tmax,Tmin,prec,T,Discharge,ETP
2002-06-29,18.5,7.4,0.0,12.95,0.07333,2.998
2002-06-30,21.3,8.2,0.0,14.75,0.07505,3.298
2002-07-01,17.6,11.2,0.5,14.4,0.07637,3.1
2002-07-02,16.3,10.3,1.1,13.3,0.08616,2.898
2002-07-03,16.1,11.1,14.2,13.600000000000001,0.14748,2.898
2002-07-04,17.8,10.9,3.3,14.350000000000001,0.16498,2.998
2002-07-05,22.2,10.0,0.2,16.1,0.10077,3.4
2002-07-06,19.3,11.2,0.9,15.25,0.09713,3.198
2002-07-07,22.2,13.2,0.0,17.7,0.10216,3.602
2002-07-08,28.8,12.4,0.0,20.6,0.08892,4.4
2002-07-09,27.5,16.9,0.0,22.2,0.08136,4.502
2002-07-10,16.9,11.6,19.0,14.25,0.28905,3.198
2002-07-11,20.1,10.1,0.0,15.100000000000001,0.16078,3.298
2002-07-12,23.7,12.6,0.0,18.15,0.10192,3.7
2002-07-13,22.5,13.7,10.8,18.1,0.16298,3.7
2002-07-14,18.5,13.6,0.0,16.05,0.58469,3.4
2002-07-15,23.8,15.6,1.0,19.7,0.16152,4.002
2002-07-16,21.6,15.5,0.9,18.55,0.12963,3.9
2002-07-17,21.3,15.0,0.7,18.15,0.1149,3.602
2002-07-18,20.2,10.7,0.0,15.45,0.11144,3.198
2002-07-19,22.6,8.8,0.0,15.700000000000001,0.09772,3.298
2002-07-20,25.7,11.3,0.0,18.5,0.09564,3.8
2002-07-21,19.8,11.4,1.2,15.600000000000001,0.0894,3.198
2002-07-22,20.1,9.1,0.0,14.600000000000001,0.08732,2.998
2002-07-23,23.9,11.5,0.0,17.7,0.08307,3.5
2002-07-24,19.8,13.1,0.0,16.45,0.08035,3.298
2002-07-25,21.0,11.5,0.0,16.25,0.07968,3.198
2002-07-26,21.9,13.9,0.3,17.9,0.07847,3.5
2002-07-27,28.4,15.8,0.0,22.1,0.07798,4.3
2002-07-28,30.1,16.6,0.0,23.35,0.06818,4.7
2002-07-29,32.2,18.8,0.0,25.5,0.06437,5.0
2002-07-30,32.2,18.5,1.5,25.35,0.06426,4.898
2002-07-31,23.7,16.2,0.7,19.95,0.08242,3.7
2002-08-01,23.5,13.1,2.5,18.3,0.07835,3.4
2002-08-02,22.9,11.2,7.0,17.049999999999997,0.07018,3.102
2002-08-03,18.0,12.4,6.9,15.2,0.13653,2.802
2002-08-04,19.2,11.8,0.7,15.5,0.10191,2.9
2002-08-05,19.9,12.3,0.5,16.1,0.087,2.9
2002-08-06,19.8,11.3,1.6,15.55,0.08095,2.7
2002-08-07,23.0,11.9,4.1,17.45,0.08925,3.102
2002-08-08,22.8,12.4,0.7,17.6,0.09414,3.102
2002-08-09,18.3,13.4,3.1,15.850000000000001,0.08827,2.802
2002-08-10,18.0,12.2,0.2,15.1,0.08681,2.7
