,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2079-01-04,0.1580781883708214,0.10616188785577628,0.12798419177797654,0.14499552325601525,0.09720702438611778,0.1570804486857849,0.11842620923345751,0.11200863808884474,0.13944972983943496,0.13948403014825742,0.13082022149948808,0.12687372743631925,0.12209342242636681,0.12553984953944344
2079-01-05,0.15584792900000288,0.10429620820206366,0.12626661548938994,0.14313355669991742,0.0954998604162371,0.15464078408532156,0.11638478576745195,0.10974257731283008,0.1373059674953519,0.13678366982924536,0.12906281768950986,0.12565586054022312,0.11952838244394311,0.12325587951327548
2079-01-06,0.15371501717201477,0.10249551274468803,0.12461156547845019,0.1413237428218683,0.09385595396989461,0.15231983531210022,0.1144460258152585,0.10758492621093729,0.1352701104225653,0.13423200462538487,0.1273545650769554,0.1244496610341343,0.11710419063121515,0.12106852487624557
2079-01-07,0.15167003385587557,0.1007541581689738,0.12301315353348713,0.13956163839387667,0.0922698253499095,0.15010625445132125,0.11259923521576569,0.10552581753652276,0.13332843488503537,0.13181455260292643,0.12569191479783948,0.12325501387449127,0.11480699202046213,0.11896980646956656
2079-01-08,0.14970460205436495,0.09906718202447236,0.12146616767441051,0.13784338700894203,0.09073660950692432,0.14798998174009761,0.11083498868883603,0.10355652024643142,0.13146924277959937,0.1295184164882235,0.12407166295134195,0.12207180559578104,0.1126244905700786,0.1169525224114035
2079-01-09,0.1478112700418665,0.09743021216095384,0.11996599290731139,0.13616562549801578,0.08925198442381904,0.14596207845588544,0.10914497719797656,0.10166928002753362,0.1296825588980694,0.12733210326109695,0.1224909156656199,0.12089992424289903,0.11054576150117874,0.11501017053844616
2079-01-10,0.14598340770017984,0.09583938981464159,0.11850854128242914,0.13452540745785452,0.08781210788465225,0.1440145854493422,0.1075218736984943,0.0998571883545216,0.12795987347891793,0.12524536504168132,0.12094705771987989,0.11973925930965541,0.10856108895823016,0.11313687861071467
2079-01-11,0.14421511448288066,0.09429130378630425,0.1170901901630948,0.1329201404643733,0.08641356164537708,0.14214040267877673,0.1059592150562929,0.09811407377474587,0.12629392327255304,0.12324905865636394,0.11943772435924728,0.1185897016827997,0.10666182486770609,0.11132734150222307
2079-01-12,0.14250113770365871,0.09278293377663285,0.11570772774153386,0.1313475342676417,0.08505330213910053,0.14033318605114814,0.10445129818928554,0.09643441069426682,0.12467850535800928,0.12133502160282401,0.11796077597684002,0.11745114359099934,0.10484026570721403,0.10957676467797203
2079-01-13,0.14083679999041968,0.0913116013825109,0.11435830495061892,0.1298055578302563,0.08372861695040854,0.13858725861510607,0.10299308871807411,0.09481324209928048,0.12310831881101124,0.11949596242409072,0.116514275370969,0.116323478558267,0.10308954453331645,0.10788081332779403
2079-01-14,0.13921793487687528,0.08987492757156254,0.11303939302057582,0.1282924035145961,0.08243708638301632,0.1368975337317271,0.10158014061894893,0.0932461135021288,0.12157883005650379,0.11772536375309656,0.11509646731527165,0.1152066013613836,0.10140353610335288,0.10623556659060926
2079-01-15,0.13764082961870588,0.08847079568189464,0.11174874601782928,0.12680645707302454,0.08117654952418699,0.1352594483045164,0.10020852555380258,0.09172901603366582,0.1200861583621855,0.11601739650766045,0.11370576020634021,0.11410040799090995,0.11865113172356101,0.10463747635937555
2079-01-16,0.13610217442379655,0.08709731916568383,0.11048436778100224,0.1253462723692098,0.07994507427925038,0.13366890450973787,0.09887477071122057,0.10029320184310395,0.1186269784597436,0.11436684390571356,0.11234070957739735,0.11300479561542334,0.15769994700383183,0.11398846342304156
2079-01-17,0.13459901737697816,0.08575281342672535,0.10924448273776977,0.12391054997458616,0.07874093091125144,0.13212221875268107,0.09757580413344596,0.09744710646403713,0.11719843773132799,0.11276903413575708,0.11100000328810485,0.11191966254865154,0.15527360893845366,0.10660920046873763
2079-01-18,0.13312872442042842,0.08443577120495312,0.10802751014689499,0.12249811895422426,0.07756256867522114,0.1306160768016324,0.0963089066274314,0.09491022776461458,0.11579808578218506,0.1112197806613538,0.1096824482199253,0.11084490821921168,0.1456486295894362,0.10467101253881038
2079-01-19,0.1316889438225623,0.08314484104314049,0.10683204136327647,0.12110792129088314,0.0764085951846494,0.1291474942318979,0.09507166946682852,0.09261793458758659,0.11442381454639462,0.10971532926377417,0.10838695832382096,0.10978043314269069,0.13764917638895513,0.10281471279085701
2079-01-20,0.13027757463186676,0.08187880843787099,0.10565681977106169,0.11973899850249607,0.07527775819019006,0.12771378145712087,0.09386195718731394,0.11263363375121557,0.1130738073498962,0.10825231103621684,0.10711254388266794,0.10872613889583212,0.1503585520990568,0.1252284942556508
2079-01-21,0.1288926899060614,0.08063657545797033,0.1045006988014357,0.11839047863931612,0.07416890809231869,0.12631245931354113,0.09267782957968676,0.10672007584694526,0.11174648035478071,0.10682764966709392,0.10585827751198068,0.10768187132114918,0.1416648410561879,0.10531870547239752
2079-01-22,0.1275326640758372,0.079417158440262,0.10336270221064398,0.11706157079624842,0.07308105072453332,0.12494139766835316,0.09151765472957227,0.10187794762391984,0.11044049386822664,0.10543868305537307,0.10462336129004265,0.10664759722688921,0.1343327224193649,0.10320381397449574
2079-01-23,0.1261959920206239,0.07821966255539013,0.10224193090050776,0.11575155170518525,0.07201326466780843,0.12359861838602679,0.09037993516903128,0.09784185973804055,0.10915467004898693,0.10408296523410647,0.10340704015580278,0.10562322056891518,0.1280612589724836,0.10119243406045178
2079-01-24,0.12488132491820987,0.07704327518287929,0.10113757851926652,0.1144597597627398,0.07096471474019819,0.1222823334302276,0.08926333767948885,0.09441681713696283,0.10788798435803366,0.10275829446761522,0.10220862231447735,0.10460864634719536,0.12262650547660878,0.09927559014706497
2079-01-25,0.12358745283146658,0.0758872561697044,0.10004892070479773,0.11318558836698177,0.06993464220106702,0.12099092539311712,0.08816667369079838,0.0914591169113632,0.10663954288520856,0.10146268714778035,0.10102747294960178,0.10360378058061437,0.11786041964349372,0.09744518763421592
2079-01-26,0.1223132892474818,0.07475092928799104,0.09897530558951408,0.1119284800612936,0.06892235609845275,0.11972293010006621,0.08708888203950248,0.08886247333335881,0.10540856306485417,0.1001943545558855,0.09986300857339563,0.10260853028364575,0.11363572039557951,0.09569392491090956
2079-01-27,0.1210578573500748,0.07363367474303291,0.09791614541880682,0.11068792137317318,0.06792722562572176,0.11847702105219768,0.08602901380210502,0.08654793525876717,0.1041943572734543,0.09895168216660874,0.09871469195049191,0.10162280344469987,0.10985499649679809,0.09401521417022174
2079-01-28,0.11982027783123908,0.08209483882051764,0.09687090915229633,0.10946343825398555,0.0669486733693523,0.1292468066025467,0.11845689653272633,0.10507433270794865,0.10972777887704346,0.10590942561753958,0.10847630051538519,0.10064650900597961,0.12554783442702566,0.11984593247420995
2079-01-29,0.11859948710896062,0.08613506107890465,0.09583898187463533,0.10825458404505908,0.06598605465674257,0.13607313774679997,0.17520096084206216,0.15483296301955965,0.10762415582396843,0.10387925017799421,0.10217800044734333,0.09967924075477783,0.1698399079026926,0.1797527447111391
2079-01-30,0.20387025201346795,0.13319296152501214,0.1500173224611782,0.14447979364655666,0.13120733205526458,0.18421178544705677,0.2640592191321036,0.21691087006790322,0.16080408255912382,0.14590653629451872,0.18007782411094675,0.17038216080995144,0.22710136837912837,0.2453343741793314
2079-01-31,0.22170503355406807,0.16023002804938416,0.17308824888132232,0.16862213957156527,0.16213365838446342,0.2180853140068526,0.270196711952681,0.25734607322696557,0.19742871033484083,0.1748673017608,0.20337415420127092,0.17637961054447227,0.26556945997057435,0.25524992430929333
2079-02-01,0.1708814212804745,0.139953643737125,0.14393041303991327,0.15830048907739666,0.1296938709055044,0.20316888669491784,0.1640797049590158,0.22584535673852685,0.183110465399066,0.1655844402600255,0.15348528459018224,0.13023952744824457,0.23952813813996893,0.1649022186987286
2079-02-02,0.2627917891462086,0.18144069646429983,0.19433314628987786,0.1918625331136546,0.18816848899691435,0.24760736708692035,0.32054959818177264,0.2841088041896779,0.23196360963895718,0.20473619354336145,0.21842452135211232,0.2145280599068221,0.2935577068985523,0.2976051860109768
2079-02-03,0.4631371233431284,0.289602306115333,0.3315675305284925,0.29884052500187763,0.3487821726641417,0.36108352085792506,0.559025183450094,0.4282751315252129,0.3595427145498626,0.3023496361314735,0.3727558449804657,0.4687667221872478,0.42010452141248444,0.48671725415532335
2079-02-04,0.36231804683022206,0.2858682725763158,0.2980408530321375,0.30158622084008424,0.31995530341454514,0.3736787593523897,0.39060241278558006,0.43776631279244216,0.3711634954318672,0.3151459769373983,0.31227982810349514,0.29135169581141523,0.434676418831064,0.3657796210270655
2079-02-05,0.29434858401442093,0.24278434999976434,0.24023300103839185,0.2730960848785988,0.25397823828245325,0.33906577874103344,0.27200318110625815,0.3823548258761321,0.3335853698735227,0.29174874822795105,0.22616717652945678,0.2330705844222825,0.3936944627645125,0.26637251630044034
2079-02-06,0.3634271899400513,0.2587946501723972,0.2695262424312332,0.2852942046917303,0.2852506557695088,0.3603125693146693,0.3928585575298838,0.41010880524476895,0.35367864630245005,0.3087484478893318,0.25484984559368085,0.29540098286365035,0.4199650775712766,0.3749975492177887
