,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2000-05-04,1.2280549088835098,1.294947563420719,1.2420487800645705,0.8716024311987602,1.391140536381751,1.5534293259186063,1.613719987026786,1.713604349475597,1.1781463876771998,0.963746719804732,1.2623597682804297,1.2909170697270331,1.5350245539277603,1.7281470305056343
2000-05-05,1.5150400072930716,1.4795546305135474,1.5437408948397746,1.0683252659314368,1.6534066150023399,1.724175904235617,1.9035774773674539,1.9103293577700213,1.3114636220038178,1.0615781950247027,1.4493559249522743,1.6798161571438954,1.6752325275190234,2.038313521424736
2000-05-06,2.0952908042578935,1.8581861033292735,2.100828695935127,1.550599721313338,2.166080313591564,2.0767270064205614,2.39923163325489,2.2824256971759858,1.6079124522943302,1.2660127028415011,1.8211676341275245,2.387278130416289,1.9612914931726126,2.533351813592654
2000-05-07,2.7648204388891315,2.3392252867814443,2.768751755484237,2.159764120145079,2.797391027585742,2.537150072276258,2.9237817765865777,2.7552560896170184,2.014245838398648,1.5429495427449433,2.2638907034335736,3.189904419604761,2.3381505664453197,3.0641628166803088
2000-05-08,3.5608907714055547,2.9004732998175062,3.5990996134893787,2.9281727336342285,3.577735017465838,3.1252017894292545,3.585533845399389,3.3550136595345883,2.5544066536645853,1.9047408330558848,2.806184780821509,4.209745572021362,2.8209319354757048,3.7392517797701026
2000-05-09,3.878127721744547,3.211732135783621,4.039029704083459,3.4432377163231918,3.967331625577487,3.518579313797547,3.7575117617096727,3.729336607079613,2.943888934834533,2.174025720357459,3.0314157609165733,4.6195455771180605,3.1583211725628217,3.9628452932647455
2000-05-10,4.1864495153295245,3.4478068467262752,4.35158469238716,3.8626509650415373,4.266967952202261,3.809971992329134,3.957560700705401,4.025346217624495,3.258152532509841,2.3975122026022446,3.177650482287797,5.021621238677335,3.433048673379616,4.217009506441365
2000-05-11,4.332518148137464,3.5677364664933036,4.48733471211072,4.134919517704928,4.419951855267052,3.9730138422898738,4.015637731235974,4.201537958142267,3.461126794302116,2.5531528925383955,3.223262439092648,5.175135616392072,3.613267419246032,4.326297860667151
2000-05-12,4.50949325360888,3.6731108460910598,4.632771079380063,4.370102252774455,4.567941722605793,4.115092824640189,4.12560874806604,4.355351375469472,3.6286619155172346,2.685688642163373,3.281610385082192,5.37674128496896,3.762851195550249,4.48408693659654
2000-05-13,5.130526594122017,4.021459614564659,5.193902575912508,4.876175846136176,5.068851263943846,4.473433940093715,4.677053997948844,4.745209769252476,3.9974244017693525,2.935109866833868,3.6193688014894385,6.162059521421492,4.076342610008041,5.082748902670462
2000-05-14,5.81406335123334,4.473860794695358,5.89145052164297,5.5215933466793485,5.705883399585374,4.9390554158400946,5.248531808699512,5.246341197262775,4.492799710684905,3.259511561875498,4.045839711199683,7.022202474933498,4.483985074715416,5.706302997709163
2000-05-15,6.43925631165062,4.931940998030977,6.5566493116716025,6.190435211138331,6.3319310540479705,5.424998104667406,5.73837301026055,5.759144668484025,5.018834364284127,3.603571322684965,4.4471093153220895,7.802514601166901,4.90467351377077,6.3150658160134
2000-05-16,7.210337252102228,5.465457771585978,7.339067488102385,6.961890770978471,7.062431128814102,5.993419248744071,6.360401864385382,6.351144365785048,5.669897742817478,4.001114148134906,4.917150485408769,8.779034177216246,5.38487898839952,7.019839945844648
2000-05-17,7.759172664152359,5.898886685025678,7.9291429375549525,7.633521722118491,7.645138831010367,6.484974972085802,6.751437430745784,6.84947727473962,6.209898808505111,4.363598802061221,5.262988316158169,9.467732003125487,5.80261114096254,7.281994468433667
2000-05-18,8.29529261817406,6.295854407316188,8.491547818899395,8.262010631954798,8.180781661534875,6.94823714042059,7.141671529117969,7.155235538860563,6.703580170692836,4.70631812981601,5.574635567639147,8.528405100151543,5.969362844118514,7.251254733660634
2000-05-19,8.722336722172654,6.655777756995757,8.969127591417763,8.819331910445024,8.672369122744575,7.379863964235339,7.498304609892478,6.878663890504229,7.148505235231976,5.028533228873871,5.8566532298464695,6.941942636992219,5.902580817087985,5.902319512921142
2000-05-20,7.331964718702636,6.942716183820044,9.298095171384755,8.03923079147624,9.003700472580581,7.663477960553946,7.279970600426921,6.085446440723922,7.505968924409149,5.309428685519456,6.070574269923222,6.336281116815525,5.24944549181494,5.126421902485229
2000-05-21,6.259368500124277,7.1761328624801894,7.925210529541836,7.204785189286038,7.85670929634615,6.944574837210164,6.756095401794159,5.416394207619429,7.7966825862548,5.552753977701224,6.241561036402978,5.790847453067306,4.702600347587172,4.709474476335853
2000-05-22,6.176235293925588,7.669539269930337,6.76461380076836,6.600655306942029,6.937191922188566,6.401022910955945,5.746643005105853,5.037213019975736,8.115844487448317,5.876582055675379,6.71989012959303,5.449532726359059,4.3910742924388835,4.626526840843586
2000-05-23,6.130080780620152,7.934981121082479,6.709273717539819,6.307796945690612,6.7900833778213165,6.148769955688933,6.076328126568538,5.0627972167131325,8.164511623475718,6.136593009883452,6.91454005752777,5.686142021048766,4.478615044113262,5.013306235867732
2000-05-24,5.141791216194948,7.368780288109239,5.8049737663744745,5.709330713132029,5.984103292348014,5.5227778845278905,4.853475241785449,4.560016370914752,7.1992634359472465,5.933189954526538,6.242481609365203,4.766471569632086,4.052908642112973,4.121606347807381
2000-05-25,4.6920444886898425,6.912915711305447,5.190228782757858,5.188442848755177,5.37860853718976,4.985302576201085,4.405322165625761,4.135841112362407,6.314008992963865,5.950078114234042,6.246248468478381,4.38271140014522,3.6932280335029857,3.8380513224308537
2000-05-26,4.29117599764213,6.071192529260706,4.708884013585999,4.73312445023637,4.887497788453741,4.5209314052116705,4.007537345429799,3.7739747498026435,5.5461930039338885,6.085365034606227,6.532541623265633,4.037282996515749,3.3862638810616748,3.5809201840112346
2000-05-27,3.932989749508579,5.367509900513629,4.303496946891226,4.333562077614393,4.4704040450085865,4.117351192781576,3.654236559344688,3.4621748073430982,4.890694305531221,5.766454147772983,5.8545457533303535,3.7261181722186336,3.1219073614905657,3.34755722434004
2000-05-28,3.8097685341552934,4.904573008284726,3.9513194436843815,4.037464588716629,4.144922653309475,3.812614682070687,3.464389036263526,3.2764492480367577,4.358491487394045,5.307142963384468,5.12826167335027,3.446272141665347,2.9084185369344793,3.202296392771273
2000-05-29,3.9559325326167594,4.791566681500223,4.097235984425154,3.9504759347446354,4.228915678582801,3.77197540370582,3.8785946750494493,3.3724402956515425,4.311106442303991,5.194091933678958,4.991567654178417,3.6746858770872537,3.0327748141323245,3.524625950783351
2000-05-30,3.323832985779145,4.289242959356816,3.63883784157061,3.6389388576577724,3.814430992430271,3.4537093580301863,3.142285446434545,3.1007872421419655,3.838719755702088,4.7645626631287605,4.312626338650084,3.120764584423834,2.803065890171985,2.976542333581498
2000-05-31,3.0725611343860626,3.8743207167267277,3.320348541626502,3.3638684106112144,3.4949452642097096,3.175888429678844,2.888468285167683,2.865734357096569,3.434807817511432,4.381502584364435,3.8531474765514355,2.9018262290413235,2.605442149396085,2.7999320665088243
2000-06-01,2.8481664590488025,3.526289079122799,3.067503991602943,3.1201828840217365,3.2312677994406602,2.932234537745488,2.6783637816879935,2.6609520601696675,3.089187646715347,4.0395679541456815,3.5039519169934423,2.704342016005422,2.433931656763325,2.6393081573208477
2000-06-02,2.647123616725651,3.230337393337558,2.852829801197606,2.903639239109081,3.004870652299078,2.717571057470085,2.480481679454077,2.4806907803230054,2.7931770015714985,3.734002857355132,3.2162831784176005,2.526098518140844,2.283921587381717,2.493153701718062
2000-06-03,2.799272120654046,3.17695456509564,2.818651827531915,2.8291175051152075,2.9653199184429333,2.652745547833101,2.632410733286359,2.500259337925513,2.674463752764119,3.580686839522492,3.2325960149327555,2.5380375728587823,2.2689194871329734,2.589736596918865
2000-06-04,2.412365731124771,2.9140509955320684,2.5890407034137706,2.641924090452549,2.741768907841709,2.4646173215823994,2.290751256967241,2.332828388260123,2.438059236312286,3.3237861359499417,2.8858774271248873,2.274147210358009,2.1336771890723343,2.3332042602601355
2000-06-05,2.3750327301977125,2.748400139110771,2.4654971653538316,2.5266291996272137,2.6044148197424617,2.3423883987678704,2.274054412956708,2.263771525494067,2.277153134715622,3.13199411446858,2.729257087289175,2.194930757209808,2.051305119285756,2.3039812559657173
2000-06-06,4.114692437508869,3.8661444376861813,4.007817038456105,3.2015181501296084,3.9488863128276908,3.193842616890162,4.706276638614545,3.35817416250298,3.5413611179981777,4.011760831324391,4.633870981594172,4.002329939473294,3.1809148414263433,4.123522773089802
2000-06-07,2.69514881854393,3.413137781378722,3.1704114058306576,2.949677781357141,3.304029683891997,2.921856342201714,2.651718478974221,3.0274472073910585,3.1868570956201414,3.714543207338985,3.6392461349825314,2.5360686220168702,2.895942903998364,2.5623648347059307
2000-06-08,2.5182445475496458,3.064658069439441,2.7748982037126737,2.729452669334611,2.932844037242668,2.6890616567691685,2.4611167354314896,2.7529008017148797,2.8831892200086666,3.4488271985720065,3.099352880905072,2.3807322924079624,2.6609917307190907,2.4280990142444105
2000-06-09,3.4152924845759793,3.6333835497608593,3.49516192935068,3.1384851479321645,3.5332589205441165,3.1284072425601095,3.7193802104134175,3.2065965207436258,3.4014688363404932,3.7850338236461023,3.881512772575502,3.2830185851402285,3.114744604459525,3.398921454321407
2000-06-10,2.5905492223362265,3.2471945492706893,2.94766708030283,2.8951796389756743,3.0847182078402744,2.8715530046397135,2.55746318118336,2.903639125558913,3.070344262778124,3.5147639011508867,3.2253345071389847,2.4575908995530136,2.850521005187045,2.508835628192381
