,ED,NSE,logNSE,NSEfdc,NSErunoff,Ks,Ratio_Riparian
50,0.7816603294980253,0.3267112534241159,0.12978180143519047,0.17936955362583595,0.2517088107237403,0.0368,0.444
51,0.7145161275497894,0.30737465483412607,0.13783968963801263,0.27792581842495534,0.45438860634322065,0.0303,0.421
52,0.6074891304405424,0.38375391403405534,0.46925045752930694,0.4614166711531381,0.27567558580380447,0.0164,0.152
53,0.4709085842916337,0.29663645565198826,0.7307552688198324,0.9070089858753393,0.44218349832208115,0.0035,0.112
54,0.4646015541751462,0.4116186294343803,0.5229214065196394,0.5816926498499883,0.6614135918374094,0.0234,0.391
55,0.5944289073970767,0.41696746619573355,0.25984197351676186,0.34520678778641356,0.6887638944557404,0.0297,0.247
56,0.41918715953371855,0.44124887858724315,0.7051407657753845,0.7438529276980523,0.5120293118071644,0.0222,0.395
57,0.4553533943807257,0.26562826349015756,0.6831228760649335,0.8892127040821995,0.5788111218211294,0.0043,0.224
58,0.42328282774931736,0.3222320896480152,0.8545322063014951,0.9266991544696992,0.5196145549582406,0.0058,0.071
59,0.3733905553682126,0.4370991441829375,0.6829623490202194,0.7657046536680319,0.7077373229070235,0.0264,0.437
60,0.6355634679821223,0.27058578880309436,0.5104530204213679,0.8144312332104648,0.1002074775730275,0.0015,0.247
61,0.5980103620454438,0.3383207153754201,0.5299422857439148,0.5428199139644888,0.24988120210562492,0.0344,0.475
62,0.5581561166811224,0.30874502680054106,0.4645106483058148,0.5589536314378059,0.4642306285523027,0.0167,0.46
63,0.6170860604233432,0.332611647024886,0.24881814893127963,0.40824306829528534,0.595867384893566,0.0135,0.146
64,0.6782929322742359,0.3247079301304848,0.43728383013291783,0.48115180619771336,0.10643808707941438,0.0229,0.266
65,0.5411959327048121,0.2619706598962185,0.7526312840944565,0.8534836857895087,0.2622828919481953,0.0111,0.081
66,0.39364862863173833,0.3653553992961359,0.8707633676939139,0.9293227029814175,0.557997947235135,0.0096,0.169
67,0.33654839414612847,0.4072688072618762,0.7931119252878868,0.8987214916988635,0.7793894656576795,0.0194,0.405
68,0.5730427263769825,0.10780996012139032,0.49310485914493085,0.703057561791312,0.5847996840995124,0.0061,0.47
69,0.4072994756273838,0.29475266184963744,0.7116108810484427,0.8934540233327075,0.7322738071395465,0.009,0.34
